DOP,CDF
0.000000000000000000e+00,1.250000000000000069e-02
0.000000000000000000e+00,2.500000000000000139e-02
0.000000000000000000e+00,3.749999999999999861e-02
0.000000000000000000e+00,5.000000000000000278e-02
0.000000000000000000e+00,6.250000000000000000e-02
0.000000000000000000e+00,7.499999999999999722e-02
0.000000000000000000e+00,8.749999999999999445e-02
0.000000000000000000e+00,1.000000000000000056e-01
0.000000000000000000e+00,1.125000000000000028e-01
0.000000000000000000e+00,1.250000000000000000e-01
0.000000000000000000e+00,1.375000000000000111e-01
0.000000000000000000e+00,1.499999999999999944e-01
0.000000000000000000e+00,1.625000000000000056e-01
0.000000000000000000e+00,1.749999999999999889e-01
0.000000000000000000e+00,1.875000000000000000e-01
0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.124999999999999944e-01
0.000000000000000000e+00,2.250000000000000056e-01
0.000000000000000000e+00,2.374999999999999889e-01
0.000000000000000000e+00,2.500000000000000000e-01
0.000000000000000000e+00,2.625000000000000111e-01
0.000000000000000000e+00,2.750000000000000222e-01
0.000000000000000000e+00,2.874999999999999778e-01
0.000000000000000000e+00,2.999999999999999889e-01
0.000000000000000000e+00,3.125000000000000000e-01
0.000000000000000000e+00,3.250000000000000111e-01
0.000000000000000000e+00,3.375000000000000222e-01
0.000000000000000000e+00,3.499999999999999778e-01
0.000000000000000000e+00,3.624999999999999889e-01
0.000000000000000000e+00,3.750000000000000000e-01
0.000000000000000000e+00,3.875000000000000111e-01
0.000000000000000000e+00,4.000000000000000222e-01
0.000000000000000000e+00,4.124999999999999778e-01
0.000000000000000000e+00,4.249999999999999889e-01
0.000000000000000000e+00,4.375000000000000000e-01
0.000000000000000000e+00,4.500000000000000111e-01
0.000000000000000000e+00,4.625000000000000222e-01
0.000000000000000000e+00,4.749999999999999778e-01
0.000000000000000000e+00,4.874999999999999889e-01
0.000000000000000000e+00,5.000000000000000000e-01
0.000000000000000000e+00,5.124999999999999556e-01
0.000000000000000000e+00,5.250000000000000222e-01
0.000000000000000000e+00,5.374999999999999778e-01
0.000000000000000000e+00,5.500000000000000444e-01
0.000000000000000000e+00,5.625000000000000000e-01
0.000000000000000000e+00,5.749999999999999556e-01
0.000000000000000000e+00,5.875000000000000222e-01
0.000000000000000000e+00,5.999999999999999778e-01
0.000000000000000000e+00,6.125000000000000444e-01
2.680965147453083161e-03,6.250000000000000000e-01
3.593890386343216725e-03,6.374999999999999556e-01
4.492362982929020906e-03,6.500000000000000222e-01
4.492362982929020906e-03,6.624999999999999778e-01
5.361930294906166322e-03,6.750000000000000444e-01
5.361930294906166322e-03,6.875000000000000000e-01
5.361930294906166322e-03,6.999999999999999556e-01
5.366726296958854690e-03,7.125000000000000222e-01
5.366726296958854690e-03,7.249999999999999778e-01
5.376344086021505805e-03,7.375000000000000444e-01
6.272401433691756484e-03,7.500000000000000000e-01
6.272401433691756484e-03,7.624999999999999556e-01
6.283662477558348523e-03,7.750000000000000222e-01
7.149240393208221474e-03,7.874999999999999778e-01
7.155635062611806832e-03,8.000000000000000444e-01
7.187780772686433450e-03,8.125000000000000000e-01
8.050089445438283337e-03,8.249999999999999556e-01
8.064516129032257841e-03,8.375000000000000222e-01
8.086253369272237632e-03,8.499999999999999778e-01
8.086253369272237632e-03,8.625000000000000444e-01
8.960573476702508519e-03,8.750000000000000000e-01
8.984725965858041813e-03,8.874999999999999556e-01
9.874326750448832526e-03,9.000000000000000222e-01
9.883198562443845994e-03,9.124999999999999778e-01
9.883198562443845994e-03,9.250000000000000444e-01
1.073345259391770938e-02,9.375000000000000000e-01
1.162790697674418589e-02,9.499999999999999556e-01
1.252236135957066239e-02,9.625000000000000222e-01
1.697944593386952611e-02,9.749999999999999778e-01
1.788908765652951621e-02,9.875000000000000444e-01
1.971326164874551840e-02,1.000000000000000000e+00
