PLR,CDF
0.000000000000000000e+00,5.555555555555555768e-03
0.000000000000000000e+00,1.111111111111111154e-02
0.000000000000000000e+00,1.666666666666666644e-02
0.000000000000000000e+00,2.222222222222222307e-02
0.000000000000000000e+00,2.777777777777777624e-02
0.000000000000000000e+00,3.333333333333333287e-02
0.000000000000000000e+00,3.888888888888888951e-02
0.000000000000000000e+00,4.444444444444444614e-02
0.000000000000000000e+00,5.000000000000000278e-02
0.000000000000000000e+00,5.555555555555555247e-02
0.000000000000000000e+00,6.111111111111110911e-02
0.000000000000000000e+00,6.666666666666666574e-02
0.000000000000000000e+00,7.222222222222221544e-02
0.000000000000000000e+00,7.777777777777777901e-02
0.000000000000000000e+00,8.333333333333332871e-02
0.000000000000000000e+00,8.888888888888889228e-02
0.000000000000000000e+00,9.444444444444444198e-02
0.000000000000000000e+00,1.000000000000000056e-01
0.000000000000000000e+00,1.055555555555555552e-01
0.000000000000000000e+00,1.111111111111111049e-01
0.000000000000000000e+00,1.166666666666666685e-01
0.000000000000000000e+00,1.222222222222222182e-01
0.000000000000000000e+00,1.277777777777777679e-01
0.000000000000000000e+00,1.333333333333333315e-01
0.000000000000000000e+00,1.388888888888888951e-01
0.000000000000000000e+00,1.444444444444444309e-01
0.000000000000000000e+00,1.499999999999999944e-01
0.000000000000000000e+00,1.555555555555555580e-01
0.000000000000000000e+00,1.611111111111111216e-01
0.000000000000000000e+00,1.666666666666666574e-01
0.000000000000000000e+00,1.722222222222222210e-01
0.000000000000000000e+00,1.777777777777777846e-01
0.000000000000000000e+00,1.833333333333333204e-01
0.000000000000000000e+00,1.888888888888888840e-01
0.000000000000000000e+00,1.944444444444444475e-01
0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.055555555555555469e-01
0.000000000000000000e+00,2.111111111111111105e-01
0.000000000000000000e+00,2.166666666666666741e-01
0.000000000000000000e+00,2.222222222222222099e-01
0.000000000000000000e+00,2.277777777777777735e-01
0.000000000000000000e+00,2.333333333333333370e-01
0.000000000000000000e+00,2.388888888888889006e-01
0.000000000000000000e+00,2.444444444444444364e-01
0.000000000000000000e+00,2.500000000000000000e-01
0.000000000000000000e+00,2.555555555555555358e-01
0.000000000000000000e+00,2.611111111111111271e-01
0.000000000000000000e+00,2.666666666666666630e-01
0.000000000000000000e+00,2.722222222222221988e-01
0.000000000000000000e+00,2.777777777777777901e-01
0.000000000000000000e+00,2.833333333333333259e-01
0.000000000000000000e+00,2.888888888888888618e-01
0.000000000000000000e+00,2.944444444444444531e-01
0.000000000000000000e+00,2.999999999999999889e-01
0.000000000000000000e+00,3.055555555555555802e-01
0.000000000000000000e+00,3.111111111111111160e-01
0.000000000000000000e+00,3.166666666666666519e-01
0.000000000000000000e+00,3.222222222222222432e-01
0.000000000000000000e+00,3.277777777777777790e-01
0.000000000000000000e+00,3.333333333333333148e-01
0.000000000000000000e+00,3.388888888888889062e-01
0.000000000000000000e+00,3.444444444444444420e-01
0.000000000000000000e+00,3.499999999999999778e-01
0.000000000000000000e+00,3.555555555555555691e-01
0.000000000000000000e+00,3.611111111111111049e-01
0.000000000000000000e+00,3.666666666666666408e-01
0.000000000000000000e+00,3.722222222222222321e-01
0.000000000000000000e+00,3.777777777777777679e-01
0.000000000000000000e+00,3.833333333333333592e-01
0.000000000000000000e+00,3.888888888888888951e-01
0.000000000000000000e+00,3.944444444444444309e-01
0.000000000000000000e+00,4.000000000000000222e-01
0.000000000000000000e+00,4.055555555555555580e-01
0.000000000000000000e+00,4.111111111111110938e-01
0.000000000000000000e+00,4.166666666666666852e-01
0.000000000000000000e+00,4.222222222222222210e-01
0.000000000000000000e+00,4.277777777777777568e-01
0.000000000000000000e+00,4.333333333333333481e-01
0.000000000000000000e+00,4.388888888888888840e-01
0.000000000000000000e+00,4.444444444444444198e-01
0.000000000000000000e+00,4.500000000000000111e-01
0.000000000000000000e+00,4.555555555555555469e-01
0.000000000000000000e+00,4.611111111111111382e-01
0.000000000000000000e+00,4.666666666666666741e-01
0.000000000000000000e+00,4.722222222222222099e-01
0.000000000000000000e+00,4.777777777777778012e-01
0.000000000000000000e+00,4.833333333333333370e-01
0.000000000000000000e+00,4.888888888888888729e-01
0.000000000000000000e+00,4.944444444444444642e-01
0.000000000000000000e+00,5.000000000000000000e-01
0.000000000000000000e+00,5.055555555555555358e-01
0.000000000000000000e+00,5.111111111111110716e-01
