DOP,CDF
0.000000000000000000e+00,1.666666666666666644e-02
0.000000000000000000e+00,3.333333333333333287e-02
0.000000000000000000e+00,5.000000000000000278e-02
0.000000000000000000e+00,6.666666666666666574e-02
0.000000000000000000e+00,8.333333333333332871e-02
0.000000000000000000e+00,1.000000000000000056e-01
0.000000000000000000e+00,1.166666666666666685e-01
0.000000000000000000e+00,1.333333333333333315e-01
0.000000000000000000e+00,1.499999999999999944e-01
0.000000000000000000e+00,1.666666666666666574e-01
0.000000000000000000e+00,1.833333333333333204e-01
0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.166666666666666741e-01
0.000000000000000000e+00,2.333333333333333370e-01
0.000000000000000000e+00,2.500000000000000000e-01
0.000000000000000000e+00,2.666666666666666630e-01
0.000000000000000000e+00,2.833333333333333259e-01
0.000000000000000000e+00,2.999999999999999889e-01
0.000000000000000000e+00,3.166666666666666519e-01
0.000000000000000000e+00,3.333333333333333148e-01
0.000000000000000000e+00,3.499999999999999778e-01
0.000000000000000000e+00,3.666666666666666408e-01
0.000000000000000000e+00,3.833333333333333592e-01
0.000000000000000000e+00,4.000000000000000222e-01
0.000000000000000000e+00,4.166666666666666852e-01
0.000000000000000000e+00,4.333333333333333481e-01
0.000000000000000000e+00,4.500000000000000111e-01
0.000000000000000000e+00,4.666666666666666741e-01
0.000000000000000000e+00,4.833333333333333370e-01
2.427184466019417265e-03,5.000000000000000000e-01
2.447980416156670530e-03,5.166666666666667185e-01
2.460024600246002533e-03,5.333333333333333259e-01
2.481389578163771710e-03,5.500000000000000444e-01
2.481389578163771710e-03,5.666666666666666519e-01
2.484472049689441086e-03,5.833333333333333703e-01
3.680981595092024539e-03,5.999999999999999778e-01
3.680981595092024539e-03,6.166666666666666963e-01
3.717472118959107633e-03,6.333333333333333037e-01
3.717472118959107633e-03,6.500000000000000222e-01
3.722084367245657565e-03,6.666666666666666297e-01
4.872107186358099612e-03,6.833333333333333481e-01
4.872107186358099612e-03,6.999999999999999556e-01
4.907975460122699675e-03,7.166666666666666741e-01
4.956629491945477133e-03,7.333333333333332815e-01
6.203473945409429709e-03,7.500000000000000000e-01
7.308160779537149418e-03,7.666666666666667185e-01
7.361963190184049079e-03,7.833333333333333259e-01
7.434944237918215265e-03,8.000000000000000444e-01
7.453416149068322824e-03,8.166666666666666519e-01
7.453416149068322824e-03,8.333333333333333703e-01
8.588957055214724648e-03,8.499999999999999778e-01
8.610086100861008215e-03,8.666666666666666963e-01
8.610086100861008215e-03,8.833333333333333037e-01
9.744214372716199224e-03,9.000000000000000222e-01
1.104294478527607405e-02,9.166666666666666297e-01
1.595092024539877459e-02,9.333333333333333481e-01
1.713586291309669371e-02,9.499999999999999556e-01
2.063106796116504979e-02,9.666666666666666741e-01
2.481389578163771883e-02,9.833333333333332815e-01
2.944785276073619631e-02,1.000000000000000000e+00
