Delay,CDF
1.000000000000000000e+00,1.259921884843139678e-04
1.000000000000000000e+00,2.519843769686279356e-04
1.000000000000000000e+00,3.779765654529419305e-04
1.000000000000000000e+00,5.039687539372558712e-04
1.000000000000000000e+00,6.299609424215698661e-04
1.000000000000000000e+00,7.559531309058838610e-04
1.000000000000000000e+00,8.819453193901978559e-04
1.000000000000000000e+00,1.007937507874511742e-03
1.000000000000000000e+00,1.133929696358825737e-03
1.000000000000000000e+00,1.259921884843139732e-03
1.000000000000000000e+00,1.385914073327453727e-03
1.000000000000000000e+00,1.511906261811767722e-03
1.000000000000000000e+00,1.637898450296081717e-03
1.000000000000000000e+00,1.763890638780395712e-03
1.000000000000000000e+00,1.889882827264709490e-03
1.000000000000000000e+00,2.015875015749023485e-03
1.000000000000000000e+00,2.141867204233337697e-03
1.000000000000000000e+00,2.267859392717651475e-03
1.000000000000000000e+00,2.393851581201965686e-03
1.000000000000000000e+00,2.519843769686279464e-03
1.000000000000000000e+00,2.645835958170593243e-03
1.000000000000000000e+00,2.771828146654907454e-03
1.000000000000000000e+00,2.897820335139221232e-03
1.000000000000000000e+00,3.023812523623535444e-03
1.000000000000000000e+00,3.149804712107849222e-03
1.000000000000000000e+00,3.275796900592163434e-03
1.000000000000000000e+00,3.401789089076477212e-03
1.000000000000000000e+00,3.527781277560791424e-03
1.000000000000000000e+00,3.653773466045105202e-03
1.000000000000000000e+00,3.779765654529418980e-03
1.000000000000000000e+00,3.905757843013733192e-03
1.000000000000000000e+00,4.031750031498046970e-03
1.000000000000000000e+00,4.157742219982361181e-03
1.000000000000000000e+00,4.283734408466675393e-03
1.000000000000000000e+00,4.409726596950988738e-03
1.000000000000000000e+00,4.535718785435302949e-03
1.000000000000000000e+00,4.661710973919617161e-03
1.000000000000000000e+00,4.787703162403931373e-03
1.000000000000000000e+00,4.913695350888244717e-03
1.000000000000000000e+00,5.039687539372558929e-03
1.000000000000000000e+00,5.165679727856873141e-03
1.000000000000000000e+00,5.291671916341186485e-03
1.000000000000000000e+00,5.417664104825500697e-03
1.000000000000000000e+00,5.543656293309814909e-03
1.000000000000000000e+00,5.669648481794129120e-03
1.000000000000000000e+00,5.795640670278442465e-03
1.000000000000000000e+00,5.921632858762756677e-03
1.000000000000000000e+00,6.047625047247070888e-03
1.000000000000000000e+00,6.173617235731384233e-03
1.000000000000000000e+00,6.299609424215698444e-03
1.000000000000000000e+00,6.425601612700012656e-03
1.000000000000000000e+00,6.551593801184326868e-03
1.000000000000000000e+00,6.677585989668640212e-03
1.000000000000000000e+00,6.803578178152954424e-03
1.000000000000000000e+00,6.929570366637268636e-03
1.000000000000000000e+00,7.055562555121582848e-03
1.000000000000000000e+00,7.181554743605896192e-03
1.000000000000000000e+00,7.307546932090210404e-03
1.000000000000000000e+00,7.433539120574524615e-03
1.000000000000000000e+00,7.559531309058837960e-03
1.000000000000000000e+00,7.685523497543152172e-03
1.000000000000000000e+00,7.811515686027466383e-03
1.000000000000000000e+00,7.937507874511780595e-03
1.000000000000000000e+00,8.063500062996093939e-03
1.000000000000000000e+00,8.189492251480409019e-03
1.000000000000000000e+00,8.315484439964722363e-03
1.000000000000000000e+00,8.441476628449035707e-03
1.000000000000000000e+00,8.567468816933350786e-03
1.000000000000000000e+00,8.693461005417664131e-03
1.000000000000000000e+00,8.819453193901977475e-03
1.000000000000000000e+00,8.945445382386292554e-03
1.000000000000000000e+00,9.071437570870605899e-03
1.000000000000000000e+00,9.197429759354919243e-03
1.000000000000000000e+00,9.323421947839234322e-03
1.000000000000000000e+00,9.449414136323547667e-03
1.000000000000000000e+00,9.575406324807862746e-03
1.000000000000000000e+00,9.701398513292176090e-03
1.000000000000000000e+00,9.827390701776489434e-03
1.000000000000000000e+00,9.953382890260804514e-03
1.000000000000000000e+00,1.007937507874511786e-02
1.000000000000000000e+00,1.020536726722943120e-02
1.000000000000000000e+00,1.033135945571374628e-02
1.000000000000000000e+00,1.045735164419805963e-02
1.000000000000000000e+00,1.058334383268237297e-02
1.000000000000000000e+00,1.070933602116668805e-02
1.000000000000000000e+00,1.083532820965100139e-02
1.000000000000000000e+00,1.096132039813531647e-02
1.000000000000000000e+00,1.108731258661962982e-02
1.000000000000000000e+00,1.121330477510394316e-02
1.000000000000000000e+00,1.133929696358825824e-02
1.000000000000000000e+00,1.146528915207257159e-02
1.000000000000000000e+00,1.159128134055688493e-02
1.000000000000000000e+00,1.171727352904120001e-02
1.000000000000000000e+00,1.184326571752551335e-02
1.000000000000000000e+00,1.196925790600982670e-02
1.000000000000000000e+00,1.209525009449414178e-02
1.000000000000000000e+00,1.222124228297845512e-02
1.000000000000000000e+00,1.234723447146276847e-02
1.000000000000000000e+00,1.247322665994708354e-02
1.000000000000000000e+00,1.259921884843139689e-02
1.000000000000000000e+00,1.272521103691571197e-02
1.000000000000000000e+00,1.285120322540002531e-02
1.000000000000000000e+00,1.297719541388433866e-02
1.000000000000000000e+00,1.310318760236865374e-02
1.000000000000000000e+00,1.322917979085296708e-02
1.000000000000000000e+00,1.335517197933728042e-02
1.000000000000000000e+00,1.348116416782159550e-02
1.000000000000000000e+00,1.360715635630590885e-02
1.000000000000000000e+00,1.373314854479022219e-02
1.000000000000000000e+00,1.385914073327453727e-02
2.000000000000000000e+00,1.398513292175885062e-02
2.000000000000000000e+00,1.411112511024316570e-02
2.000000000000000000e+00,1.423711729872747904e-02
2.000000000000000000e+00,1.436310948721179238e-02
2.000000000000000000e+00,1.448910167569610746e-02
2.000000000000000000e+00,1.461509386418042081e-02
2.000000000000000000e+00,1.474108605266473415e-02
2.000000000000000000e+00,1.486707824114904923e-02
2.000000000000000000e+00,1.499307042963336258e-02
2.000000000000000000e+00,1.511906261811767592e-02
2.000000000000000000e+00,1.524505480660199100e-02
2.000000000000000000e+00,1.537104699508630434e-02
2.000000000000000000e+00,1.549703918357061942e-02
2.000000000000000000e+00,1.562303137205493277e-02
2.000000000000000000e+00,1.574902356053924785e-02
2.000000000000000000e+00,1.587501574902356119e-02
2.000000000000000000e+00,1.600100793750787453e-02
2.000000000000000000e+00,1.612700012599218788e-02
2.000000000000000000e+00,1.625299231447650122e-02
2.000000000000000000e+00,1.637898450296081804e-02
2.000000000000000000e+00,1.650497669144513138e-02
2.000000000000000000e+00,1.663096887992944473e-02
2.000000000000000000e+00,1.675696106841375807e-02
2.000000000000000000e+00,1.688295325689807141e-02
2.000000000000000000e+00,1.700894544538238476e-02
2.000000000000000000e+00,1.713493763386670157e-02
2.000000000000000000e+00,1.726092982235101492e-02
2.000000000000000000e+00,1.738692201083532826e-02
2.000000000000000000e+00,1.751291419931964161e-02
2.000000000000000000e+00,1.763890638780395495e-02
2.000000000000000000e+00,1.776489857628827176e-02
2.000000000000000000e+00,1.789089076477258511e-02
2.000000000000000000e+00,1.801688295325689845e-02
2.000000000000000000e+00,1.814287514174121180e-02
2.000000000000000000e+00,1.826886733022552514e-02
2.000000000000000000e+00,1.839485951870983849e-02
2.000000000000000000e+00,1.852085170719415530e-02
2.000000000000000000e+00,1.864684389567846864e-02
2.000000000000000000e+00,1.877283608416278199e-02
2.000000000000000000e+00,1.889882827264709533e-02
2.000000000000000000e+00,1.902482046113140868e-02
2.000000000000000000e+00,1.915081264961572549e-02
2.000000000000000000e+00,1.927680483810003884e-02
2.000000000000000000e+00,1.940279702658435218e-02
2.000000000000000000e+00,1.952878921506866552e-02
2.000000000000000000e+00,1.965478140355297887e-02
2.000000000000000000e+00,1.978077359203729221e-02
2.000000000000000000e+00,1.990676578052160903e-02
2.000000000000000000e+00,2.003275796900592237e-02
2.000000000000000000e+00,2.015875015749023572e-02
2.000000000000000000e+00,2.028474234597454906e-02
2.000000000000000000e+00,2.041073453445886240e-02
2.000000000000000000e+00,2.053672672294317922e-02
2.000000000000000000e+00,2.066271891142749256e-02
2.000000000000000000e+00,2.078871109991180591e-02
2.000000000000000000e+00,2.091470328839611925e-02
2.000000000000000000e+00,2.104069547688043260e-02
2.000000000000000000e+00,2.116668766536474594e-02
2.000000000000000000e+00,2.129267985384906275e-02
2.000000000000000000e+00,2.141867204233337610e-02
2.000000000000000000e+00,2.154466423081768944e-02
2.000000000000000000e+00,2.167065641930200279e-02
2.000000000000000000e+00,2.179664860778631613e-02
2.000000000000000000e+00,2.192264079627063295e-02
2.000000000000000000e+00,2.204863298475494629e-02
2.000000000000000000e+00,2.217462517323925963e-02
2.000000000000000000e+00,2.230061736172357298e-02
2.000000000000000000e+00,2.242660955020788632e-02
2.000000000000000000e+00,2.255260173869219967e-02
2.000000000000000000e+00,2.267859392717651648e-02
2.000000000000000000e+00,2.280458611566082983e-02
2.000000000000000000e+00,2.293057830414514317e-02
2.000000000000000000e+00,2.305657049262945651e-02
2.000000000000000000e+00,2.318256268111376986e-02
2.000000000000000000e+00,2.330855486959808320e-02
2.000000000000000000e+00,2.343454705808240002e-02
2.000000000000000000e+00,2.356053924656671336e-02
2.000000000000000000e+00,2.368653143505102671e-02
3.000000000000000000e+00,2.381252362353534005e-02
3.000000000000000000e+00,2.393851581201965339e-02
3.000000000000000000e+00,2.406450800050397021e-02
3.000000000000000000e+00,2.419050018898828355e-02
3.000000000000000000e+00,2.431649237747259690e-02
3.000000000000000000e+00,2.444248456595691024e-02
3.000000000000000000e+00,2.456847675444122359e-02
3.000000000000000000e+00,2.469446894292553693e-02
3.000000000000000000e+00,2.482046113140985374e-02
3.000000000000000000e+00,2.494645331989416709e-02
3.000000000000000000e+00,2.507244550837848043e-02
3.000000000000000000e+00,2.519843769686279378e-02
3.000000000000000000e+00,2.532442988534710712e-02
3.000000000000000000e+00,2.545042207383142394e-02
3.000000000000000000e+00,2.557641426231573728e-02
3.000000000000000000e+00,2.570240645080005062e-02
3.000000000000000000e+00,2.582839863928436397e-02
3.000000000000000000e+00,2.595439082776867731e-02
3.000000000000000000e+00,2.608038301625299066e-02
3.000000000000000000e+00,2.620637520473730747e-02
3.000000000000000000e+00,2.633236739322162082e-02
3.000000000000000000e+00,2.645835958170593416e-02
3.000000000000000000e+00,2.658435177019024750e-02
3.000000000000000000e+00,2.671034395867456085e-02
3.000000000000000000e+00,2.683633614715887766e-02
3.000000000000000000e+00,2.696232833564319101e-02
3.000000000000000000e+00,2.708832052412750435e-02
3.000000000000000000e+00,2.721431271261181770e-02
3.000000000000000000e+00,2.734030490109613104e-02
3.000000000000000000e+00,2.746629708958044438e-02
