DOP,CDF
0.000000000000000000e+00,1.666666666666666644e-02
0.000000000000000000e+00,3.333333333333333287e-02
0.000000000000000000e+00,5.000000000000000278e-02
0.000000000000000000e+00,6.666666666666666574e-02
0.000000000000000000e+00,8.333333333333332871e-02
0.000000000000000000e+00,1.000000000000000056e-01
0.000000000000000000e+00,1.166666666666666685e-01
0.000000000000000000e+00,1.333333333333333315e-01
0.000000000000000000e+00,1.499999999999999944e-01
0.000000000000000000e+00,1.666666666666666574e-01
0.000000000000000000e+00,1.833333333333333204e-01
0.000000000000000000e+00,2.000000000000000111e-01
2.447980416156670530e-03,2.166666666666666741e-01
2.447980416156670530e-03,2.333333333333333370e-01
2.453987730061349837e-03,2.500000000000000000e-01
2.453987730061349837e-03,2.666666666666666630e-01
2.453987730061349837e-03,2.833333333333333259e-01
2.457002457002456942e-03,2.999999999999999889e-01
2.466091245376078947e-03,3.166666666666666519e-01
2.472187886279357018e-03,3.333333333333333148e-01
3.663003663003663000e-03,3.499999999999999778e-01
3.671970624235006229e-03,3.666666666666666408e-01
3.676470588235294067e-03,3.833333333333333592e-01
4.889975550122249368e-03,4.000000000000000222e-01
4.895960832313341060e-03,4.166666666666666852e-01
4.932182490752157894e-03,4.333333333333333481e-01
6.119951040391677193e-03,4.500000000000000111e-01
6.127450980392156778e-03,4.666666666666666741e-01
7.343941248470012458e-03,4.833333333333333370e-01
7.343941248470012458e-03,5.000000000000000000e-01
7.371007371007371259e-03,5.166666666666667185e-01
8.652657601977749996e-03,5.333333333333333259e-01
9.768009768009768001e-03,5.500000000000000444e-01
9.779951100244498735e-03,5.666666666666666519e-01
9.779951100244498735e-03,5.833333333333333703e-01
1.102941176470588307e-02,5.999999999999999778e-01
1.222493887530562429e-02,6.166666666666666963e-01
1.223990208078335439e-02,6.333333333333333037e-01
1.233045622688039474e-02,6.500000000000000222e-01
1.236093943139678596e-02,6.666666666666666297e-01
1.344743276283618533e-02,6.833333333333333481e-01
1.349693251533742346e-02,6.999999999999999556e-01
1.351351351351351426e-02,7.166666666666666741e-01
1.468788249694002492e-02,7.333333333333332815e-01
1.587301587301587213e-02,7.500000000000000000e-01
1.593137254901960675e-02,7.666666666666667185e-01
1.602959309494451229e-02,7.833333333333333259e-01
1.709401709401709574e-02,8.000000000000000444e-01
1.717791411042944930e-02,8.166666666666666519e-01
1.854140914709517807e-02,8.333333333333333703e-01
2.075702075702075614e-02,8.499999999999999778e-01
2.083333333333333218e-02,8.666666666666666963e-01
2.096177558569667018e-02,8.833333333333333037e-01
2.197802197802197974e-02,9.000000000000000222e-01
2.322738386308068406e-02,9.166666666666666297e-01
2.328431372549019662e-02,9.333333333333333481e-01
2.328431372549019662e-02,9.499999999999999556e-01
2.447980416156670877e-02,9.666666666666666741e-01
2.579852579852579680e-02,9.833333333333332815e-01
2.966625463535228768e-02,1.000000000000000000e+00
