PLR,CDF
0.000000000000000000e+00,2.941176470588235253e-03
0.000000000000000000e+00,5.882352941176470507e-03
0.000000000000000000e+00,8.823529411764705760e-03
0.000000000000000000e+00,1.176470588235294101e-02
0.000000000000000000e+00,1.470588235294117627e-02
0.000000000000000000e+00,1.764705882352941152e-02
0.000000000000000000e+00,2.058823529411764677e-02
0.000000000000000000e+00,2.352941176470588203e-02
0.000000000000000000e+00,2.647058823529411728e-02
0.000000000000000000e+00,2.941176470588235253e-02
0.000000000000000000e+00,3.235294117647059126e-02
0.000000000000000000e+00,3.529411764705882304e-02
0.000000000000000000e+00,3.823529411764706176e-02
0.000000000000000000e+00,4.117647058823529355e-02
0.000000000000000000e+00,4.411764705882353227e-02
0.000000000000000000e+00,4.705882352941176405e-02
0.000000000000000000e+00,5.000000000000000278e-02
0.000000000000000000e+00,5.294117647058823456e-02
0.000000000000000000e+00,5.588235294117647328e-02
0.000000000000000000e+00,5.882352941176470507e-02
0.000000000000000000e+00,6.176470588235294379e-02
0.000000000000000000e+00,6.470588235294118251e-02
0.000000000000000000e+00,6.764705882352940736e-02
0.000000000000000000e+00,7.058823529411764608e-02
0.000000000000000000e+00,7.352941176470588480e-02
0.000000000000000000e+00,7.647058823529412352e-02
0.000000000000000000e+00,7.941176470588234837e-02
0.000000000000000000e+00,8.235294117647058709e-02
0.000000000000000000e+00,8.529411764705882582e-02
0.000000000000000000e+00,8.823529411764706454e-02
0.000000000000000000e+00,9.117647058823528938e-02
0.000000000000000000e+00,9.411764705882352811e-02
0.000000000000000000e+00,9.705882352941176683e-02
0.000000000000000000e+00,1.000000000000000056e-01
0.000000000000000000e+00,1.029411764705882304e-01
0.000000000000000000e+00,1.058823529411764691e-01
0.000000000000000000e+00,1.088235294117647078e-01
0.000000000000000000e+00,1.117647058823529466e-01
0.000000000000000000e+00,1.147058823529411714e-01
0.000000000000000000e+00,1.176470588235294101e-01
0.000000000000000000e+00,1.205882352941176489e-01
0.000000000000000000e+00,1.235294117647058876e-01
0.000000000000000000e+00,1.264705882352941124e-01
0.000000000000000000e+00,1.294117647058823650e-01
0.000000000000000000e+00,1.323529411764705899e-01
0.000000000000000000e+00,1.352941176470588147e-01
0.000000000000000000e+00,1.382352941176470673e-01
0.000000000000000000e+00,1.411764705882352922e-01
0.000000000000000000e+00,1.441176470588235170e-01
0.000000000000000000e+00,1.470588235294117696e-01
0.000000000000000000e+00,1.499999999999999944e-01
0.000000000000000000e+00,1.529411764705882470e-01
0.000000000000000000e+00,1.558823529411764719e-01
0.000000000000000000e+00,1.588235294117646967e-01
0.000000000000000000e+00,1.617647058823529493e-01
0.000000000000000000e+00,1.647058823529411742e-01
0.000000000000000000e+00,1.676470588235293990e-01
0.000000000000000000e+00,1.705882352941176516e-01
0.000000000000000000e+00,1.735294117647058765e-01
0.000000000000000000e+00,1.764705882352941291e-01
0.000000000000000000e+00,1.794117647058823539e-01
0.000000000000000000e+00,1.823529411764705788e-01
0.000000000000000000e+00,1.852941176470588314e-01
0.000000000000000000e+00,1.882352941176470562e-01
0.000000000000000000e+00,1.911764705882352811e-01
0.000000000000000000e+00,1.941176470588235337e-01
0.000000000000000000e+00,1.970588235294117585e-01
0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.029411764705882359e-01
0.000000000000000000e+00,2.058823529411764608e-01
0.000000000000000000e+00,2.088235294117647134e-01
0.000000000000000000e+00,2.117647058823529382e-01
0.000000000000000000e+00,2.147058823529411631e-01
0.000000000000000000e+00,2.176470588235294157e-01
0.000000000000000000e+00,2.205882352941176405e-01
0.000000000000000000e+00,2.235294117647058931e-01
0.000000000000000000e+00,2.264705882352941180e-01
0.000000000000000000e+00,2.294117647058823428e-01
0.000000000000000000e+00,2.323529411764705954e-01
0.000000000000000000e+00,2.352941176470588203e-01
0.000000000000000000e+00,2.382352941176470451e-01
0.000000000000000000e+00,2.411764705882352977e-01
0.000000000000000000e+00,2.441176470588235226e-01
0.000000000000000000e+00,2.470588235294117752e-01
0.000000000000000000e+00,2.500000000000000000e-01
0.000000000000000000e+00,2.529411764705882248e-01
0.000000000000000000e+00,2.558823529411764497e-01
0.000000000000000000e+00,2.588235294117647300e-01
0.000000000000000000e+00,2.617647058823529549e-01
0.000000000000000000e+00,2.647058823529411797e-01
0.000000000000000000e+00,2.676470588235294046e-01
0.000000000000000000e+00,2.705882352941176294e-01
0.000000000000000000e+00,2.735294117647059098e-01
0.000000000000000000e+00,2.764705882352941346e-01
0.000000000000000000e+00,2.794117647058823595e-01
0.000000000000000000e+00,2.823529411764705843e-01
0.000000000000000000e+00,2.852941176470588092e-01
0.000000000000000000e+00,2.882352941176470340e-01
0.000000000000000000e+00,2.911764705882353144e-01
