Time(s),ECRA_PLR,ECRA_DOP,SPS_PLR,SPS_DOP,AP-SPS_PLR,AP-SPS_DOP,CRA_PLR,CRA_DOP,PCA-RS_PLR,PCA-RS_DOP
0,0.005282051282051283,0.0,0.028880747272051612,0.0,0.02114403229620621,0.0,0.025743606634910977,0.0,0.024142306968393926,0.0
1,0.006615384615384617,0.00625,0.02740655721090503,0.035416666666666666,0.02114403229620621,0.03125,0.021204418769636156,0.029166666666666667,0.024308754047884476,0.029166666666666667
2,0.004059829059829059,0.008333333333333333,0.03293630282760717,0.035416666666666666,0.021067835546096415,0.03125,0.008180602006688962,0.029166666666666667,0.02312110836023879,0.03333333333333333
3,0.002782608695652174,0.010416666666666666,0.031748046639350984,0.041666666666666664,0.022452450930711798,0.035416666666666666,0.01334671125975474,0.02847222222222222,0.02444006717919761,0.03333333333333333
4,0.004064659977703456,0.011805555555555554,0.029505236309584133,0.04305555555555555,0.021047751765143067,0.0375,0.006731326644370123,0.034027777777777775,0.01641614906832298,0.03680555555555555
5,0.002731326644370123,0.013194444444444444,0.02729971960406742,0.04861111111111112,0.01931531029357116,0.03958333333333333,0.0053979933110367894,0.034027777777777775,0.016271848924022836,0.03819444444444444
6,0.008769008769008768,0.014583333333333334,0.021739333130637476,0.05069444444444445,0.025000892826979777,0.04375,0.009295429208472686,0.034027777777777775,0.02202131443435791,0.04097222222222222
7,0.008291713117800074,0.016666666666666666,0.022195652173913043,0.05486111111111112,0.019382402621533054,0.05277777777777778,0.008004273504273506,0.03611111111111111,0.018151075977162933,0.04861111111111111
8,0.009527313266443701,0.022916666666666665,0.014448177426438296,0.059027777777777776,0.01834561332387419,0.05555555555555555,0.005388888888888889,0.04027777777777777,0.016574879227053137,0.052083333333333336
9,0.004231884057971014,0.025,0.01835471774602209,0.06111111111111111,0.019946505185635618,0.059027777777777776,0.005337606837606838,0.04027777777777777,0.014024154589371977,0.05416666666666667
10,0.007185990338164251,0.025,0.011357487922705311,0.06527777777777778,0.014519323671497586,0.059027777777777776,0.005388888888888889,0.03958333333333333,0.018265143069490893,0.05416666666666667
11,0.004120215533259012,0.029166666666666664,0.01650897729273015,0.06944444444444443,0.014963210702341138,0.059027777777777776,0.008004273504273506,0.040972222222222215,0.011210905036991991,0.058333333333333334
12,0.009685432924563359,0.031249999999999997,0.02681035224627902,0.07534722222222222,0.011685432924563359,0.06111111111111111,0.006722222222222223,0.04305555555555555,0.015694756933887367,0.058333333333333334
13,0.01163415087328131,0.035416666666666666,0.02717820902717928,0.08854166666666667,0.014583983649201038,0.06458333333333334,0.008120215533259012,0.04513888888888888,0.014229671294888687,0.06666666666666667
14,0.005402266815310293,0.035416666666666666,0.03920657438163158,0.0925,0.01631841588363327,0.06875,0.005282051282051283,0.04513888888888888,0.018354717746022094,0.06597222222222222
15,0.0066028708133971286,0.03968253968253967,0.04737734860025882,0.11365079365079363,0.014379658296066964,0.07539682539682538,0.0031746031746031746,0.041269841269841255,0.020209709880762507,0.07698412698412697
16,0.006515151515151516,0.046031746031746014,0.04873555137100028,0.12238095238095238,0.01350877192982456,0.07777777777777777,0.004617604617604618,0.041269841269841255,0.02443817878028404,0.07619047619047618
17,0.0016666666666666668,0.0476190476190476,0.031301865775549984,0.13428571428571429,0.01144414065466697,0.08015873015873014,0.0016666666666666668,0.041269841269841255,0.01881977671451356,0.08809523809523809
18,0.0016666666666666668,0.0476190476190476,0.03312726260094681,0.1334920634920635,0.011220475431001747,0.08253968253968252,0.0016666666666666668,0.043650793650793634,0.022328548644338118,0.0908730158730159
19,0.006356421356421356,0.04920634920634919,0.032967393230551124,0.13507936507936508,0.011220475431001747,0.08492063492063491,0.003253968253968254,0.043650793650793634,0.019716905901116424,0.09166666666666669
20,0.009952912584491531,0.054761904761904755,0.030328504341662232,0.13984126984126982,0.009705323915850233,0.08492063492063491,0.0049362041467304624,0.046031746031746014,0.01730462519936204,0.09166666666666669
21,0.007887142097668415,0.05555555555555555,0.02557808663071821,0.1422222222222222,0.007950937950937952,0.08492063492063491,0.004696969696969698,0.046031746031746014,0.02549479760006076,0.0904761904761905
22,0.004696969696969698,0.05555555555555555,0.023549403812561705,0.14698412698412697,0.008181818181818182,0.0873015873015873,0.0015151515151515152,0.046031746031746014,0.01856497303865725,0.09841269841269844
23,0.0016666666666666668,0.05555555555555555,0.01811916154021417,0.14857142857142855,0.009466089466089466,0.08968253968253967,0.0030303030303030303,0.046031746031746014,0.019222867775499357,0.09960317460317464
24,0.01028708133971292,0.05555555555555555,0.017478829649882285,0.15015873015873013,0.011435786435786435,0.09126984126984125,0.0015151515151515152,0.04841269841269839,0.013780284043441938,0.09960317460317464
25,0.007017543859649122,0.06269841269841268,0.012621990582516899,0.1541269841269841,0.011435786435786435,0.09523809523809525,0.0,0.04841269841269839,0.012025898078529657,0.09960317460317464
26,0.006444140654666971,0.06269841269841268,0.009713678134730766,0.1541269841269841,0.011435786435786435,0.09523809523809525,0.004696969696969698,0.0476190476190476,0.010271512113617376,0.09960317460317464
27,0.0016666666666666668,0.06365079365079364,0.011061745272271589,0.15730158730158728,0.013929922846331514,0.09761904761904762,0.0016666666666666668,0.04880952380952379,0.006762740183792815,0.09960317460317464
28,0.0,0.06365079365079364,0.011133895344421661,0.15968253968253968,0.011675020885547201,0.09999999999999999,0.0049362041467304624,0.048015873015873,0.006611225032277664,0.09960317460317464
29,0.0,0.06365079365079364,0.01773676615781879,0.1688095238095238,0.010008354218880534,0.09999999999999999,0.0049362041467304624,0.05039682539682538,0.007017543859649122,0.09960317460317464
