Time(s),ECRA_PLR,ECRA_DOP,SPS_PLR,SPS_DOP,AP-SPS_PLR,AP-SPS_DOP,CRA_PLR,CRA_DOP,PCA-RS_PLR,PCA-RS_DOP
0,0.012314195466369379,0.0,0.03891765239591327,0.0,0.03879704594921986,0.0,0.042274585318063586,0.0,0.04126325124151212,0.0
1,0.013926421404682273,0.016666666666666666,0.04102193217410609,0.05416666666666667,0.0340414151066325,0.04791666666666667,0.034603526907874736,0.04791666666666667,0.04310535117056856,0.058333333333333334
2,0.008184875510962468,0.01875,0.04220475418301505,0.058333333333333334,0.03871759400020269,0.04791666666666667,0.022928296341339822,0.05,0.042111736089996965,0.058333333333333334
3,0.0026709401709401706,0.01875,0.044483646787994616,0.0638888888888889,0.040771994468790804,0.051388888888888894,0.01642346542346542,0.052083333333333336,0.0457532057314666,0.06111111111111111
4,0.0,0.01875,0.03727701525527612,0.06736111111111111,0.025087866240040155,0.05347222222222223,0.01672122563426911,0.05138888888888889,0.03521884878406618,0.06527777777777778
5,0.002564102564102564,0.018055555555555554,0.02837220026350461,0.06875,0.017114844093104962,0.052777777777777785,0.008312354312354312,0.05138888888888889,0.030704976183237052,0.07291666666666667
6,0.004013377926421405,0.018055555555555554,0.02364492753623188,0.07083333333333333,0.016917874396135266,0.05416666666666667,0.0053979933110367894,0.050694444444444445,0.02534388799606191,0.07291666666666667
7,0.004059829059829059,0.018055555555555554,0.02041675956893348,0.075,0.0193719806763285,0.058333333333333334,0.006680044593088072,0.05138888888888889,0.018364867017040928,0.07500000000000001
8,0.001282051282051282,0.020138888888888887,0.020657748049052398,0.07916666666666666,0.024629657781831692,0.06805555555555556,0.0052307692307692315,0.05277777777777778,0.014132982959069916,0.07430555555555557
9,0.0026709401709401706,0.020138888888888887,0.01972352285395763,0.08958333333333332,0.022114781353911785,0.0798611111111111,0.010911928651059085,0.05347222222222222,0.01703636460158199,0.07361111111111111
10,0.0,0.020138888888888887,0.01882497212931995,0.09166666666666665,0.018211124624168105,0.0798611111111111,0.012129319955406913,0.05902777777777777,0.014391782130912568,0.07743055555555557
11,0.005513935340022297,0.020138888888888887,0.017674673152934018,0.09374999999999999,0.020861981014154925,0.07916666666666666,0.010898550724637681,0.062152777777777765,0.014340500079630513,0.07881944444444446
12,0.00394871794871795,0.02222222222222222,0.027956842674233977,0.09444444444444443,0.01421629336846728,0.08125,0.012347826086956521,0.0642361111111111,0.015104899930986888,0.07812500000000001
13,0.0013333333333333333,0.024305555555555556,0.023239890544238372,0.1111111111111111,0.021647695299869214,0.08194444444444443,0.014954106280193237,0.06354166666666666,0.013792207792207793,0.08229166666666667
14,0.0013333333333333333,0.024305555555555556,0.02804775176514307,0.11319444444444443,0.02290483188309275,0.09027777777777776,0.013731884057971015,0.07118055555555554,0.011825679151766109,0.0857638888888889
15,0.01111111111111111,0.020833333333333332,0.05833333333333334,0.12638888888888888,0.02611111111111111,0.10555555555555556,0.01898148148148148,0.06805555555555556,0.01074074074074074,0.07805555555555556
16,0.01111111111111111,0.03333333333333333,0.046653439153439155,0.1409722222222222,0.036005291005291006,0.11666666666666665,0.01898148148148148,0.07083333333333333,0.012037037037037037,0.07972222222222222
17,0.0037037037037037034,0.03333333333333333,0.023611111111111107,0.1409722222222222,0.016203703703703703,0.12083333333333332,0.01944444444444444,0.08333333333333334,0.027870370370370372,0.08180555555555555
18,0.0,0.03333333333333333,0.03824074074074075,0.14375,0.01693121693121693,0.11944444444444444,0.02277777777777778,0.0875,0.03276455026455026,0.09708333333333334
19,0.0033333333333333335,0.03333333333333333,0.03407407407407407,0.1534722222222222,0.023611111111111107,0.1222222222222222,0.014907407407407407,0.08611111111111111,0.035277777777777776,0.10541666666666669
20,0.0,0.03333333333333333,0.0398015873015873,0.16944444444444443,0.028134920634920638,0.1284722222222222,0.014907407407407407,0.08888888888888888,0.036931216931216926,0.10958333333333335
21,0.0037037037037037034,0.03333333333333333,0.024074074074074074,0.1736111111111111,0.02433862433862434,0.1284722222222222,0.02231481481481482,0.08888888888888888,0.033227513227513224,0.10958333333333335
22,0.0,0.03333333333333333,0.026018518518518517,0.1722222222222222,0.03518518518518518,0.12708333333333333,0.018611111111111113,0.09305555555555554,0.035277777777777776,0.10777777777777779
23,0.0,0.03333333333333333,0.01898148148148148,0.1722222222222222,0.027777777777777776,0.13402777777777777,0.01074074074074074,0.09305555555555554,0.035277777777777776,0.11222222222222222
24,0.0033333333333333335,0.03333333333333333,0.02787037037037037,0.1736111111111111,0.014814814814814814,0.13402777777777777,0.014814814814814814,0.09305555555555554,0.0335978835978836,0.11638888888888889
25,0.007407407407407407,0.0375,0.027407407407407405,0.18749999999999997,0.024801587301587304,0.1361111111111111,0.014444444444444446,0.09583333333333334,0.03203703703703704,0.12055555555555555
26,0.0037037037037037034,0.036111111111111115,0.028703703703703707,0.19166666666666662,0.01898148148148148,0.13888888888888887,0.007037037037037037,0.09583333333333334,0.024074074074074074,0.12333333333333334
27,0.0,0.036111111111111115,0.028240740740740743,0.19166666666666662,0.014814814814814814,0.13888888888888887,0.01111111111111111,0.09583333333333334,0.0125,0.12333333333333334
28,0.0,0.036111111111111115,0.027314814814814813,0.1958333333333333,0.011574074074074073,0.13888888888888887,0.007407407407407407,0.09861111111111112,0.0125,0.12333333333333334
29,0.0,0.036111111111111115,0.03314814814814814,0.1958333333333333,0.012037037037037037,0.13888888888888887,0.0033333333333333335,0.09861111111111112,0.016203703703703703,0.12333333333333334
